Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,Enrollment Type,Total Points Redeemed
Ontario,Trenton,K8V 4B2,Female,Bachelor,50718,Divorced,Nova,Standard,415
British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,71562,Married,Star,Standard,414
British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,79072,Married,Nova,Standard,711
Alberta,Edmonton,T9G 1W3,Female,Bachelor,73945,Single,Nova,Standard,2625
Quebec,Montreal,H2Y 2W2,Female,Bachelor,61100,Married,Nova,Standard,655
British Columbia,Whistler,V6T 1Y8,Female,Bachelor,61832,Married,Star,Standard,1552
Saskatchewan,Regina,S6J 3G0,Female,Bachelor,64630,Single,Aurora,Standard,688
Newfoundland,St. John's,A1C 6H9,Male,Bachelor,68454,Married,Star,Standard,1150
British Columbia,West Vancouver,V6V 8Z3,Male,High School or Below,82703,Married,Star,2023 Promotion,354
Ontario,Ottawa,K1F 2R2,Male,Bachelor,77950,Married,Aurora,Standard,997
Saskatchewan,Regina,S6J 3G0,Female,High School or Below,80919,Single,Star,Standard,693
Quebec,Montreal,H3T 8L4,Female,Bachelor,50170,Married,Nova,2023 Promotion,835
British Columbia,Whistler,V6T 1Y8,Male,Bachelor,74353,Single,Aurora,Standard,1297
Ontario,Toronto,P1W 1K4,Female,Bachelor,80543,Married,Star,Standard,1157
British Columbia,Victoria,V10 6T5,Male,Bachelor,64373,Married,Star,2023 Promotion,1358
New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,47670,Single,Nova,Standard,786
British Columbia,Victoria,V10 6T5,Female,Bachelor,76452,Married,Star,Standard,1132
Ontario,Toronto,P2T 6G3,Male,Bachelor,60366,Single,Nova,Standard,522
Ontario,Ottawa,K1G 4Z0,Male,Bachelor,64015,Single,Aurora,Standard,1357
British Columbia,Vancouver,V5R 1W3,Female,Bachelor,68261,Single,Star,Standard,1743
Quebec,Tremblant,H5Y 2S9,Female,Bachelor,75462,Married,Star,Standard,1213
British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,75899,Married,Nova,Standard,1077
Ontario,Toronto,M1R 4K3,Male,Bachelor,69334,Married,Nova,Standard,326
Ontario,London,M5B 3E4,Male,High School or Below,55218,Married,Star,Standard,375
British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,60295,Married,Nova,Standard,1505
Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,61055,Married,Aurora,Standard,2566
Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,55898,Married,Nova,Standard,509
Quebec,Quebec City,G1B 3L5,Female,Bachelor,76248,Married,Nova,Standard,1708
British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,54784,Divorced,Nova,Standard,297
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,51165,Married,Nova,Standard,461
Alberta,Edmonton,T9G 1W3,Female,Bachelor,46863,Married,Aurora,Standard,449
Saskatchewan,Regina,S1J 3C5,Male,Bachelor,60208,Married,Star,Standard,497
Saskatchewan,Regina,S6J 3G0,Female,Bachelor,63991,Married,Star,Standard,499
British Columbia,Vancouver,V5R 1W3,Male,High School or Below,55648,Single,Star,Standard,438
Ontario,Toronto,M2P 4F6,Female,Bachelor,63472,Married,Nova,Standard,923
Quebec,Montreal,H4G 3T4,Male,Bachelor,79483,Married,Nova,Standard,1404
British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,61062,Married,Star,Standard,1700
Ontario,Toronto,M8Y 4K8,Female,Bachelor,47715,Divorced,Star,Standard,1968
British Columbia,Vancouver,V1E 4R6,Male,Bachelor,63025,Divorced,Nova,2018 Promotion,2034
Quebec,Tremblant,H5Y 2S9,Male,Bachelor,50507,Married,Aurora,Standard,2019
Ontario,Toronto,M1R 4K3,Male,Bachelor,67220,Single,Aurora,Standard,858
British Columbia,Whistler,V6T 1Y8,Female,Bachelor,69912,Married,Star,Standard,875
Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,80153,Married,Aurora,2018 Promotion,881
Quebec,Quebec City,G1B 3L5,Male,Bachelor,63899,Single,Aurora,Standard,2617
Alberta,Calgary,T3E 2V9,Female,Bachelor,73510,Single,Nova,Standard,533
Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,62089,Divorced,Star,Standard,837
Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,59537,Married,Nova,Standard,1797
Ontario,Kingston,M9K 2P4,Male,Bachelor,58725,Married,Star,Standard,2631
British Columbia,Whistler,V6T 1Y8,Female,Bachelor,70674,Divorced,Star,Standard,851
British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,63517,Married,Star,Standard,1705
British Columbia,Vancouver,V6E 3Z3,Female,High School or Below,58735,Married,Aurora,2023 Promotion,1092
Alberta,Calgary,T3E 2V9,Female,Bachelor,82347,Married,Star,Standard,1680
Ontario,Trenton,K8V 4B2,Female,High School or Below,52239,Married,Star,Standard,860
Saskatchewan,Regina,S6J 3G0,Female,Bachelor,47052,Single,Star,Standard,618
Alberta,Calgary,T3E 2V9,Male,Bachelor,69854,Married,Nova,Standard,539
Quebec,Quebec City,G1B 3L5,Female,Bachelor,20320,Married,Nova,2023 Promotion,550
Ontario,Toronto,M2M 7K8,Male,Bachelor,58026,Married,Nova,Standard,589
Quebec,Montreal,H4G 3T4,Male,Bachelor,46738,Married,Star,Standard,836
British Columbia,Whistler,V6T 1Y8,Male,Bachelor,71792,Married,Aurora,Standard,653
Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,53204,Married,Star,Standard,632
Ontario,Toronto,P5S 6R4,Male,Bachelor,49343,Divorced,Nova,2023 Promotion,969
Quebec,Tremblant,H5Y 2S9,Male,Bachelor,53610,Married,Star,Standard,1965
Quebec,Montreal,H2Y 2W2,Female,High School or Below,43280,Married,Nova,Standard,1220
British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,59576,Married,Star,Standard,414
Ontario,Toronto,M1R 4K3,Female,High School or Below,42090,Married,Aurora,Standard,432
Ontario,Toronto,M2M 7K8,Male,Bachelor,50598,Married,Star,Standard,364
Ontario,Toronto,M1R 4K3,Female,High School or Below,70946,Married,Star,Standard,1211
Ontario,Ottawa,K1F 2R2,Female,Bachelor,78145,Married,Star,Standard,828
Ontario,Toronto,P1J 8T7,Female,Bachelor,68546,Single,Nova,Standard,644
Quebec,Quebec City,G1B 3L5,Female,Bachelor,80309,Single,Star,Standard,455
New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,61237,Divorced,Aurora,Standard,409
New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,50597,Married,Nova,Standard,568
Ontario,Sudbury,M5V 1G5,Male,Bachelor,76570,Married,Aurora,Standard,539
Ontario,Toronto,P1J 8T7,Female,High School or Below,65177,Married,Star,Standard,1148
Ontario,Toronto,P5S 6R4,Male,Bachelor,69609,Married,Nova,Standard,341
Ontario,Toronto,P1L 8X8,Male,High School or Below,59103,Married,Aurora,2023 Promotion,1098
Ontario,Toronto,M2M 7K8,Male,High School or Below,64290,Married,Aurora,Standard,680
Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,65697,Married,Star,Standard,423
Quebec,Montreal,H2Y 2W2,Male,Bachelor,61070,Divorced,Aurora,Standard,1093
Quebec,Montreal,H2T 2J6,Male,Bachelor,61668,Divorced,Star,Standard,642
Quebec,Montreal,H2T 9K8,Female,Bachelor,48536,Married,Nova,Standard,2355
Ontario,Ottawa,K1F 2R2,Male,High School or Below,46991,Divorced,Nova,Standard,817
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,66845,Married,Star,Standard,1257
Ontario,Toronto,P5S 6R4,Female,Bachelor,55552,Married,Nova,Standard,473
British Columbia,Victoria,V10 6T5,Male,Bachelor,68957,Married,Star,Standard,975
Quebec,Montreal,H2Y 4R4,Female,High School or Below,54094,Divorced,Aurora,Standard,960
Ontario,Kingston,M9K 2P4,Female,Bachelor,57975,Married,Aurora,Standard,1234
British Columbia,Vancouver,V6E 3D9,Male,Bachelor,68152,Married,Star,Standard,924
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,60903,Married,Star,Standard,1809
Ontario,Toronto,M2P 4F6,Female,Bachelor,82703,Divorced,Star,Standard,1504
Quebec,Montreal,H2T 9K8,Female,Bachelor,61589,Married,Star,Standard,1064
Ontario,Toronto,M2M 7K8,Male,Bachelor,77565,Married,Star,Standard,1743
Alberta,Edmonton,T3G 6Y6,Male,Bachelor,71992,Married,Aurora,Standard,1191
Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,50170,Married,Nova,Standard,477
Alberta,Edmonton,T9G 1W3,Female,High School or Below,52209,Married,Star,Standard,1829
Saskatchewan,Regina,S1J 3C5,Male,Bachelor,49529,Divorced,Nova,Standard,1806
British Columbia,Vancouver,V1E 4R6,Male,Bachelor,68839,Married,Star,Standard,1154
Quebec,Tremblant,H5Y 2S9,Male,Bachelor,80895,Married,Star,Standard,2166
Ontario,Toronto,M2M 6J7,Male,High School or Below,80767,Married,Nova,Standard,354
British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,56493,Divorced,Nova,Standard,637
Ontario,Toronto,M2P 4F6,Male,Bachelor,54637,Married,Nova,Standard,913
Ontario,Toronto,M2P 4F6,Female,Bachelor,66537,Married,Star,Standard,1551
Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,66226,Married,Star,Standard,1124
British Columbia,Kelowna,V09 2E9,Male,Bachelor,74090,Married,Nova,Standard,648
Quebec,Montreal,H2T 9K8,Female,Doctor,70755,Divorced,Nova,Standard,2014
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,51479,Married,Nova,Standard,996
Ontario,Toronto,M2Z 4K1,Male,Bachelor,61203,Married,Nova,Standard,809
Quebec,Montreal,H4G 3T4,Male,High School or Below,81391,Married,Nova,Standard,1265
Ontario,Ottawa,K1F 2R2,Female,Bachelor,57398,Married,Star,Standard,530
Nova Scotia,Halifax,B3C 2M8,Female,Bachelor,67500,Married,Aurora,Standard,775
British Columbia,Vancouver,V6E 3D9,Male,Bachelor,73162,Married,Nova,Standard,829
Quebec,Montreal,H4G 3T4,Female,Bachelor,50597,Married,Star,Standard,429
Ontario,Trenton,K8V 4B2,Female,High School or Below,79678,Divorced,Star,Standard,1145
Saskatchewan,Regina,S6J 3G0,Female,High School or Below,54033,Single,Star,Standard,972
Quebec,Hull,J8Y 3Z5,Male,Bachelor,73077,Married,Aurora,Standard,701
British Columbia,Vancouver,V1E 4R6,Female,Bachelor,63926,Married,Aurora,Standard,1432
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,70236,Married,Star,Standard,471
British Columbia,Victoria,V10 6T5,Female,Bachelor,46699,Single,Aurora,Standard,815
British Columbia,Victoria,V10 6T5,Female,High School or Below,79610,Married,Star,Standard,560
Quebec,Hull,J8Y 3Z5,Female,Bachelor,61813,Married,Nova,Standard,1037
British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,63225,Married,Aurora,Standard,913
Quebec,Montreal,H4G 3T4,Female,Bachelor,68413,Married,Aurora,Standard,618
Ontario,Toronto,M2Z 4K1,Female,Bachelor,61070,Divorced,Star,Standard,561
Ontario,Toronto,P1L 8X8,Male,Bachelor,65935,Divorced,Star,Standard,476
Saskatchewan,Regina,S1J 3C5,Male,Bachelor,54492,Married,Star,Standard,1886
Ontario,Kingston,M9K 2P4,Female,Bachelor,68615,Divorced,Nova,Standard,1130
Quebec,Montreal,H2T 9K8,Male,High School or Below,58431,Married,Star,Standard,1749
Ontario,Ottawa,K1F 2R2,Female,Bachelor,52172,Single,Nova,Standard,452
British Columbia,Victoria,V10 6T5,Female,Bachelor,80280,Married,Aurora,Standard,1300
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,49588,Divorced,Aurora,Standard,825
Ontario,Kingston,M9K 2P4,Male,Bachelor,63218,Married,Aurora,Standard,1335
Ontario,Toronto,P5S 6R4,Male,Bachelor,54286,Married,Star,Standard,2254
Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75856,Married,Star,Standard,578
Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,74713,Married,Star,Standard,1809
Quebec,Montreal,H2T 9K8,Male,Bachelor,54846,Married,Nova,Standard,1263
Ontario,Toronto,P5S 6R4,Male,Bachelor,59621,Married,Nova,Standard,907
Newfoundland,St. John's,A1C 6H9,Male,Bachelor,58831,Single,Nova,Standard,1967
Quebec,Montreal,H2T 2J6,Female,Bachelor,53061,Married,Star,Standard,1279
Ontario,Trenton,K8V 4B2,Male,Bachelor,76533,Married,Nova,Standard,1606
Quebec,Montreal,H2Y 2W2,Male,Bachelor,64064,Divorced,Star,2023 Promotion,1636
British Columbia,Vancouver,V5R 1W3,Female,Doctor,50363,Single,Nova,Standard,1511
British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,54175,Divorced,Nova,2023 Promotion,602
British Columbia,Whistler,V6T 1Y8,Female,Bachelor,40125,Single,Nova,2023 Promotion,560
Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,61041,Divorced,Star,Standard,903
Ontario,Ottawa,K1G 4Z0,Female,Bachelor,62259,Married,Star,Standard,465
Ontario,Toronto,P1J 8T7,Female,High School or Below,78716,Married,Star,Standard,798
Alberta,Calgary,T3E 2V9,Male,Bachelor,74917,Married,Star,Standard,2505
British Columbia,Vancouver,V1E 4R6,Male,Bachelor,74046,Divorced,Star,Standard,760
Yukon,Whitehorse,Y2K 6R0,Female,Bachelor,61578,Divorced,Nova,Standard,490
British Columbia,Whistler,V6T 1Y8,Female,Bachelor,74413,Married,Star,Standard,444
Quebec,Tremblant,H5Y 2S9,Female,Bachelor,55617,Married,Nova,Standard,522
Alberta,Edmonton,T3G 6Y6,Female,Bachelor,79192,Married,Star,Standard,397
Quebec,Montreal,H2T 9K8,Male,High School or Below,71344,Divorced,Nova,Standard,1150
Ontario,Toronto,M2M 7K8,Female,Bachelor,58713,Single,Nova,Standard,456
Alberta,Edmonton,T3G 6Y6,Male,Bachelor,46607,Married,Nova,Standard,391
Ontario,Toronto,P5S 6R4,Male,Bachelor,68372,Married,Nova,Standard,1316
New Brunswick,Moncton,E1A 2A7,Male,Bachelor,78488,Single,Star,Standard,634
Ontario,Toronto,M2M 6J7,Male,Bachelor,61302,Divorced,Star,Standard,844
Alberta,Banff,T4V 1D4,Female,Bachelor,76778,Single,Aurora,Standard,1115
Ontario,Ottawa,K1F 2R2,Male,Bachelor,47673,Married,Star,Standard,1996
Ontario,Toronto,M2Z 4K1,Female,Bachelor,48770,Married,Aurora,Standard,630
Ontario,Toronto,P1J 8T7,Male,Bachelor,78114,Married,Aurora,Standard,1117
British Columbia,Vancouver,V6E 3D9,Male,Bachelor,48042,Divorced,Star,Standard,415
Ontario,Toronto,M8Y 4K8,Female,Bachelor,63359,Married,Nova,Standard,1763
Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,50254,Married,Aurora,Standard,1417
British Columbia,Vancouver,V5R 1W3,Female,Bachelor,62932,Divorced,Star,2023 Promotion,692
Ontario,Toronto,M8Y 4K8,Female,Bachelor,79023,Single,Nova,Standard,961
Manitoba,Winnipeg,R6Y 4T5,Female,Bachelor,59188,Married,Star,Standard,393
British Columbia,Vancouver,V5R 1W3,Female,Bachelor,47291,Single,Aurora,Standard,388
Quebec,Hull,J8Y 3Z5,Male,Bachelor,70482,Married,Nova,Standard,975
Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,61504,Married,Star,Standard,1316
Ontario,Toronto,P5S 6R4,Male,Bachelor,58025,Divorced,Nova,Standard,956
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,63348,Married,Star,Standard,1651
Quebec,Quebec City,G1B 3L5,Male,Bachelor,73236,Married,Aurora,Standard,946
Alberta,Calgary,T3E 2V9,Female,Bachelor,46831,Married,Star,Standard,1527
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,70485,Married,Aurora,Standard,599
British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,53149,Married,Nova,Standard,1819
Saskatchewan,Regina,S1J 3C5,Male,Bachelor,56384,Married,Star,Standard,368
British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,67377,Single,Star,Standard,550
Ontario,Toronto,M2Z 4K1,Male,Bachelor,81110,Married,Aurora,Standard,557
Quebec,Hull,J8Y 3Z5,Male,Bachelor,59377,Married,Star,Standard,420
Ontario,Toronto,P5S 6R4,Female,Bachelor,52704,Married,Nova,Standard,1061
Ontario,Toronto,P1J 8T7,Female,Bachelor,61899,Divorced,Nova,Standard,1016
Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,74028,Divorced,Star,Standard,786
New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,64046,Single,Nova,Standard,409
British Columbia,Vancouver,V5R 1W3,Female,Bachelor,72656,Divorced,Star,Standard,799
Ontario,Kingston,M9K 2P4,Male,Bachelor,67271,Married,Star,2023 Promotion,372
Quebec,Tremblant,H5Y 2S9,Male,Bachelor,63271,Married,Aurora,Standard,988
Quebec,Montreal,H2T 9K8,Female,Bachelor,78464,Married,Aurora,Standard,379
Ontario,Toronto,P1J 8T7,Female,Bachelor,79325,Married,Star,Standard,1963
British Columbia,Whistler,V6T 1Y8,Female,Bachelor,82078,Married,Aurora,Standard,552
Ontario,Toronto,M2M 7K8,Male,Bachelor,53068,Single,Nova,Standard,1370
Ontario,Trenton,K8V 4B2,Male,Bachelor,60350,Divorced,Star,Standard,434
Quebec,Quebec City,G1B 3L5,Female,Bachelor,73823,Single,Nova,Standard,1424
Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,48994,Married,Star,Standard,449
Ontario,Toronto,M2Z 4K1,Male,Bachelor,47515,Divorced,Nova,Standard,1460
British Columbia,Vancouver,V1E 4R6,Female,Bachelor,74727,Married,Aurora,Standard,1394
Quebec,Montreal,H2T 2J6,Female,Bachelor,47084,Single,Nova,Standard,2746
British Columbia,Vancouver,V6E 3D9,Male,Bachelor,82910,Divorced,Star,2023 Promotion,585
Ontario,Toronto,M1R 4K3,Male,Bachelor,47620,Married,Nova,Standard,2883
British Columbia,Kelowna,V09 2E9,Male,Bachelor,57254,Married,Star,Standard,1509
Ontario,Toronto,M2M 7K8,Female,Bachelor,77841,Married,Aurora,Standard,744
Quebec,Tremblant,H5Y 2S9,Female,Bachelor,51923,Married,Nova,Standard,1568
Ontario,Toronto,M2P 4F6,Female,Bachelor,67827,Divorced,Aurora,Standard,900
Newfoundland,St. John's,A1C 6H9,Female,Bachelor,70678,Married,Nova,Standard,446
British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,56567,Single,Star,2018 Promotion,1499
Prince Edward Island,Charlottetown,C1A 6E8,Female,High School or Below,43592,Divorced,Star,Standard,1194
Quebec,Montreal,H2T 9K8,Male,Bachelor,62242,Married,Nova,2023 Promotion,1065
Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,54123,Married,Star,Standard,1226
Quebec,Montreal,H2Y 2W2,Male,High School or Below,68023,Married,Nova,Standard,1000
Quebec,Hull,J8Y 3Z5,Female,Bachelor,71792,Married,Aurora,2023 Promotion,501
Ontario,Trenton,K8V 4B2,Male,Bachelor,65540,Married,Nova,Standard,2308
Ontario,Toronto,P1L 8X8,Female,Bachelor,60094,Married,Nova,Standard,581
Quebec,Montreal,H2T 9K8,Male,Bachelor,72587,Married,Star,Standard,958
Ontario,Kingston,M9K 2P4,Male,Master,71038,Married,Nova,Standard,903
British Columbia,Kelowna,V09 2E9,Female,Bachelor,60776,Divorced,Aurora,Standard,1355
Quebec,Montreal,H2T 2J6,Male,Bachelor,57668,Married,Star,Standard,765
Ontario,Toronto,M1R 4K3,Male,Bachelor,68485,Married,Star,Standard,648
Quebec,Tremblant,H5Y 2S9,Female,Bachelor,61200,Married,Nova,Standard,547
Alberta,Edmonton,T3G 6Y6,Female,Bachelor,52114,Married,Star,Standard,1037
British Columbia,Vancouver,V1E 4R6,Male,Bachelor,60079,Married,Star,Standard,895
Quebec,Hull,J8Y 3Z5,Male,High School or Below,65565,Married,Aurora,Standard,2918
British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,81518,Divorced,Nova,Standard,548
British Columbia,Vancouver,V5R 1W3,Female,Bachelor,81355,Married,Star,Standard,2616
Ontario,Kingston,M9K 2P4,Female,Bachelor,63411,Married,Nova,Standard,877
Quebec,Montreal,H2T 9K8,Female,Bachelor,49031,Married,Star,Standard,389
Ontario,Toronto,P1L 8X8,Female,Bachelor,74655,Married,Star,Standard,438
Ontario,Toronto,P1J 8T7,Female,Bachelor,53565,Single,Star,Standard,343
British Columbia,Vancouver,V6E 3D9,Male,Bachelor,56959,Married,Aurora,Standard,499
Ontario,Toronto,P5S 6R4,Female,Bachelor,70384,Single,Nova,Standard,596
Ontario,Toronto,M2M 6J7,Male,Bachelor,62308,Divorced,Star,Standard,462
Ontario,Ottawa,K1F 2R2,Female,Bachelor,27603,Single,Star,2023 Promotion,664
New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,75827,Married,Nova,Standard,1298
Alberta,Edmonton,T9G 1W3,Male,Bachelor,74651,Single,Nova,Standard,644
Quebec,Tremblant,H5Y 2S9,Female,Bachelor,72459,Married,Nova,Standard,588
Quebec,Montreal,H2Y 2W2,Male,Bachelor,58338,Married,Nova,Standard,800
Ontario,Toronto,P1J 8T7,Male,Bachelor,57886,Married,Star,Standard,645
Quebec,Tremblant,H5Y 2S9,Female,Bachelor,53337,Married,Star,Standard,765
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,57139,Married,Star,Standard,2575
Ontario,Trenton,K8V 4B2,Female,Bachelor,61912,Single,Star,Standard,784
Ontario,Toronto,P1L 8X8,Female,Bachelor,56894,Married,Star,Standard,1096
New Brunswick,Fredericton,E3B 2H2,Male,Doctor,57773,Married,Star,Standard,537
Quebec,Quebec City,G1B 3L5,Female,Bachelor,69971,Divorced,Star,Standard,1252
Quebec,Montreal,H2Y 2W2,Male,Bachelor,58372,Divorced,Nova,Standard,471
Ontario,Toronto,M8Y 4K8,Male,Bachelor,55641,Married,Nova,Standard,896
Ontario,Toronto,P1L 8X8,Male,Bachelor,48369,Married,Star,Standard,1196
Quebec,Tremblant,H5Y 2S9,Female,Bachelor,73135,Single,Star,Standard,908
Alberta,Calgary,T3E 2V9,Male,Master,72027,Single,Nova,Standard,1368
Quebec,Montreal,H2T 9K8,Male,Bachelor,75980,Married,Star,Standard,611
Ontario,Toronto,M1R 4K3,Male,Bachelor,79614,Married,Star,Standard,1257
British Columbia,Vancouver,V1E 4R6,Male,Bachelor,74544,Married,Star,Standard,886
British Columbia,Victoria,V10 6T5,Male,Bachelor,75827,Married,Nova,Standard,455
Quebec,Montreal,H4G 3T4,Male,Bachelor,78722,Married,Nova,Standard,477
British Columbia,Whistler,V6T 1Y8,Male,Master,79329,Divorced,Nova,Standard,968
Ontario,Sudbury,M5V 1G5,Female,Bachelor,50663,Married,Nova,Standard,3105
British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,64245,Single,Star,2023 Promotion,494
Quebec,Montreal,H2T 9K8,Male,Bachelor,56644,Divorced,Aurora,Standard,1335
Ontario,Toronto,P1J 8T7,Male,Bachelor,82081,Married,Nova,Standard,1403
Ontario,London,M5B 3E4,Female,Bachelor,58711,Divorced,Star,Standard,1346
Ontario,Toronto,M2M 7K8,Male,Bachelor,58756,Married,Star,Standard,1523
Quebec,Quebec City,G1B 3L5,Male,Bachelor,74773,Married,Star,Standard,505
Quebec,Montreal,H4G 3T4,Male,Bachelor,78660,Married,Nova,Standard,1861
Ontario,Toronto,M8Y 4K8,Male,Bachelor,24688,Divorced,Nova,2023 Promotion,2200
Ontario,Kingston,M9K 2P4,Male,Bachelor,51989,Married,Aurora,Standard,2540
British Columbia,Vancouver,V6E 3D9,Female,Master,72027,Single,Star,Standard,995
Newfoundland,St. John's,A1C 6H9,Female,Bachelor,73715,Divorced,Star,Standard,565
Ontario,Kingston,M9K 2P4,Female,Bachelor,74699,Divorced,Star,Standard,463
British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,73461,Single,Star,Standard,980
Ontario,Trenton,K8V 4B2,Female,Bachelor,67377,Single,Star,Standard,1624
Quebec,Quebec City,G1B 3L5,Male,Bachelor,52723,Married,Star,Standard,367
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66949,Single,Star,Standard,1517
Quebec,Montreal,H2T 2J6,Female,Bachelor,77314,Married,Aurora,Standard,468
Alberta,Edmonton,T9G 1W3,Male,Bachelor,60252,Divorced,Aurora,Standard,1060
Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,50870,Single,Star,2018 Promotion,1145
Alberta,Edmonton,T3G 6Y6,Female,High School or Below,45580,Married,Aurora,Standard,454
Quebec,Tremblant,H5Y 2S9,Female,High School or Below,66546,Single,Star,Standard,382
British Columbia,Vancouver,V6E 3D9,Female,Doctor,70755,Divorced,Star,Standard,1774
Ontario,Kingston,M9K 2P4,Female,Bachelor,55729,Married,Star,Standard,1541
Ontario,Toronto,M2M 7K8,Male,High School or Below,52209,Married,Star,Standard,751
New Brunswick,Fredericton,E3B 2H2,Male,High School or Below,54773,Divorced,Nova,Standard,2281
British Columbia,Vancouver,V6E 3D9,Male,High School or Below,47238,Married,Aurora,Standard,305
Quebec,Montreal,H2Y 4R4,Female,Bachelor,65546,Married,Aurora,Standard,827
Ontario,Toronto,M8Y 4K8,Female,Bachelor,54675,Married,Nova,Standard,1181
British Columbia,Victoria,V10 6T5,Female,Bachelor,62044,Single,Nova,Standard,1204
Ontario,Thunder Bay,K8T 5M5,Male,Doctor,69818,Married,Star,Standard,1609
Newfoundland,St. John's,A1C 6H9,Male,Bachelor,78573,Divorced,Star,Standard,1455
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,66845,Divorced,Star,Standard,2139
British Columbia,Vancouver,V1E 4R6,Female,Bachelor,56883,Divorced,Star,Standard,544
British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,47379,Married,Nova,Standard,874
Newfoundland,St. John's,A1C 6H9,Female,Bachelor,71195,Divorced,Star,Standard,537
Nova Scotia,Halifax,B3J 9S2,Female,Doctor,61991,Single,Nova,Standard,936
Ontario,Toronto,M8Y 4K8,Male,High School or Below,72896,Divorced,Star,Standard,1759
Ontario,Toronto,P1L 8X8,Male,Bachelor,64680,Married,Star,Standard,511
Manitoba,Winnipeg,R3R 3T4,Female,Bachelor,56610,Married,Aurora,Standard,1476
New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,53842,Married,Star,Standard,1735
Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,75114,Divorced,Nova,Standard,1591
Ontario,Toronto,M1R 4K3,Female,Bachelor,48852,Married,Star,Standard,1921
Ontario,Toronto,P1L 8X8,Female,Bachelor,82509,Single,Nova,Standard,451
Alberta,Edmonton,T3G 6Y6,Male,Bachelor,81892,Divorced,Star,Standard,510
Quebec,Montreal,H2T 9K8,Female,Bachelor,67097,Married,Nova,Standard,2032
British Columbia,Whistler,V6T 1Y8,Male,Bachelor,48398,Married,Aurora,Standard,375
British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,78160,Married,Star,Standard,1056
British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,80853,Married,Nova,Standard,1067
Ontario,Toronto,M2M 7K8,Female,Bachelor,58421,Married,Nova,Standard,509
Quebec,Montreal,H2T 9K8,Female,Bachelor,57033,Married,Aurora,Standard,783
New Brunswick,Moncton,E1A 2A7,Male,High School or Below,72217,Married,Nova,Standard,1540
Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,52217,Married,Aurora,Standard,2171
Saskatchewan,Regina,S6J 3G0,Male,Bachelor,50879,Single,Star,Standard,1250
Ontario,Toronto,P1J 8T7,Male,High School or Below,71630,Married,Nova,Standard,572
